,DateTime,Count,Holiday,Temp,Hum,Month,Year,Day,DayofWeek,2,3,4,5,6,7,8,9,10,11,12,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
42,2011-02-12,1472,0,0.22249999999999995,0.5441666666666667,2,2011,12,Saturday,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
43,2011-02-13,1589,0,0.31652173913043485,0.45739130434782593,2,2011,13,Sunday,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44,2011-02-14,1913,0,0.415,0.3758333333333334,2,2011,14,Monday,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,2011-02-15,1815,0,0.26608695652173914,0.31434782608695655,2,2011,15,Tuesday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46,2011-02-16,2115,0,0.3182608695652174,0.42347826086956525,2,2011,16,Wednesday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,2011-02-17,2475,0,0.43583333333333335,0.505,2,2011,17,Thursday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,2011-02-18,2927,0,0.5216666666666666,0.5166666666666665,2,2011,18,Friday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2011-02-19,1635,0,0.3991666666666667,0.18791666666666665,2,2011,19,Saturday,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,2011-02-20,1812,0,0.28521739130434776,0.40782608695652167,2,2011,20,Sunday,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51,2011-02-21,1107,1,0.3033333333333334,0.6049999999999999,2,2011,21,Monday,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,2011-02-22,1450,0,0.18222222222222229,0.577777777777778,2,2011,22,Tuesday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
53,2011-02-23,1917,0,0.2217391304347826,0.4230434782608697,2,2011,23,Wednesday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,2011-02-24,1807,0,0.29565217391304344,0.6973913043478259,2,2011,24,Thursday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55,2011-02-25,1461,0,0.36434782608695654,0.7121739130434782,2,2011,25,Friday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2011-02-26,1969,0,0.28250000000000003,0.5379166666666667,2,2011,26,Saturday,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
57,2011-02-27,2402,0,0.3434782608695653,0.6799999999999998,2,2011,27,Sunday,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
58,2011-02-28,1446,0,0.4072727272727273,0.8763636363636362,2,2011,28,Monday,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59,2011-03-01,1851,0,0.26666666666666666,0.5349999999999999,3,2011,1,Tuesday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
60,2011-03-02,2134,0,0.335,0.4495833333333333,3,2011,2,Wednesday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,2011-03-03,1685,0,0.19833333333333336,0.3183333333333334,3,2011,3,Thursday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
62,2011-03-04,1944,0,0.2616666666666666,0.6104166666666666,3,2011,4,Friday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2011-03-05,2077,0,0.3841666666666666,0.7891666666666666,3,2011,5,Saturday,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
64,2011-03-06,605,0,0.37652173913043485,0.9482608695652174,3,2011,6,Sunday,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
65,2011-03-07,1872,0,0.26173913043478253,0.551304347826087,3,2011,7,Monday,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
66,2011-03-08,2133,0,0.2925,0.42083333333333334,3,2011,8,Tuesday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
67,2011-03-09,1891,0,0.29583333333333334,0.7754166666666666,3,2011,9,Wednesday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68,2011-03-10,623,0,0.3890909090909092,0.0,3,2011,10,Thursday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
69,2011-03-11,1977,0,0.31652173913043474,0.6495652173913044,3,2011,11,Friday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2011-03-12,2132,0,0.32916666666666666,0.5945833333333334,3,2011,12,Saturday,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
71,2011-03-13,2417,0,0.3843478260869566,0.5273913043478262,3,2011,13,Sunday,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72,2011-03-14,2046,0,0.32521739130434785,0.4969565217391305,3,2011,14,Monday,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
73,2011-03-15,2056,0,0.31739130434782614,0.6556521739130435,3,2011,15,Tuesday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74,2011-03-16,2192,0,0.36521739130434794,0.7765217391304347,3,2011,16,Wednesday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,2011-03-17,2744,0,0.415,0.6029166666666665,3,2011,17,Thursday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
76,2011-03-18,3239,0,0.5399999999999998,0.5252173913043479,3,2011,18,Friday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2011-03-19,3117,0,0.4725000000000001,0.3791666666666666,3,2011,19,Saturday,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
78,2011-03-20,2471,0,0.3325,0.4737499999999999,3,2011,20,Sunday,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
79,2011-03-21,2077,0,0.4304347826086957,0.7373913043478261,3,2011,21,Monday,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
80,2011-03-22,2703,0,0.44166666666666665,0.6245833333333333,3,2011,22,Tuesday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
81,2011-03-23,2121,0,0.3469565217391305,0.8395652173913042,3,2011,23,Wednesday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,2011-03-24,1865,0,0.2849999999999999,0.8058333333333328,3,2011,24,Thursday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83,2011-03-25,2210,0,0.2641666666666666,0.4950000000000001,3,2011,25,Friday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2011-03-26,2496,0,0.26583333333333337,0.3941666666666667,3,2011,26,Saturday,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
85,2011-03-27,1693,0,0.2530434782608695,0.49391304347826087,3,2011,27,Sunday,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
86,2011-03-28,2028,0,0.2643478260869565,0.30217391304347824,3,2011,28,Monday,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87,2011-03-29,2425,0,0.30250000000000005,0.31416666666666676,3,2011,29,Tuesday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
88,2011-03-30,1536,0,0.30000000000000004,0.6466666666666666,3,2011,30,Wednesday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,2011-03-31,1685,0,0.2683333333333333,0.9183333333333331,3,2011,31,Thursday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
90,2011-04-01,2227,0,0.3,0.6862500000000001,4,2011,1,Friday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2011-04-02,2252,0,0.315,0.6537499999999999,4,2011,2,Saturday,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
92,2011-04-03,3249,0,0.37833333333333335,0.48,4,2011,3,Sunday,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
93,2011-04-04,3115,0,0.5733333333333333,0.4262500000000002,4,2011,4,Monday,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
94,2011-04-05,1795,0,0.41416666666666674,0.6420833333333336,4,2011,5,Tuesday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
95,2011-04-06,2808,0,0.39083333333333337,0.4708333333333334,4,2011,6,Wednesday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,2011-04-07,3141,0,0.4375,0.6029166666666667,4,2011,7,Thursday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
97,2011-04-08,1471,0,0.3358333333333334,0.8362499999999998,4,2011,8,Friday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2011-04-09,2455,0,0.3425,0.8775,4,2011,9,Saturday,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
99,2011-04-10,2895,0,0.4266666666666667,0.8574999999999999,4,2011,10,Sunday,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100,2011-04-11,3348,0,0.5956521739130435,0.7169565217391305,4,2011,11,Monday,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
101,2011-04-12,2034,0,0.5025000000000001,0.7391666666666667,4,2011,12,Tuesday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
102,2011-04-13,2162,0,0.41250000000000003,0.8191666666666668,4,2011,13,Wednesday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,2011-04-14,3267,0,0.4675000000000001,0.5404166666666667,4,2011,14,Thursday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
104,2011-04-15,3126,1,0.4466666666666667,0.67125,4,2011,15,Friday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2011-04-16,795,0,0.4308333333333332,0.8883333333333336,4,2011,16,Saturday,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
106,2011-04-17,3744,0,0.4566666666666667,0.4795833333333335,4,2011,17,Sunday,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
107,2011-04-18,3429,0,0.5125000000000001,0.5425000000000001,4,2011,18,Monday,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
108,2011-04-19,3204,0,0.5058333333333334,0.6658333333333334,4,2011,19,Tuesday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
109,2011-04-20,3944,0,0.5949999999999999,0.6141666666666665,4,2011,20,Wednesday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110,2011-04-21,4189,0,0.45916666666666667,0.40708333333333346,4,2011,21,Thursday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
111,2011-04-22,1683,0,0.33666666666666667,0.7295833333333333,4,2011,22,Friday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2011-04-23,4036,0,0.45999999999999996,0.8879166666666666,4,2011,23,Saturday,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
113,2011-04-24,4191,0,0.5816666666666666,0.8108333333333334,4,2011,24,Sunday,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
114,2011-04-25,4073,0,0.6066666666666666,0.7766666666666668,4,2011,25,Monday,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
115,2011-04-26,4400,0,0.6316666666666666,0.7291666666666665,4,2011,26,Tuesday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116,2011-04-27,3872,0,0.6199999999999998,0.8354166666666664,4,2011,27,Wednesday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
117,2011-04-28,4058,0,0.6174999999999998,0.7008333333333335,4,2011,28,Thursday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
118,2011-04-29,4595,0,0.5100000000000001,0.45708333333333345,4,2011,29,Friday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,2011-04-30,5312,0,0.47249999999999986,0.5033333333333332,4,2011,30,Saturday,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
120,2011-05-01,3351,0,0.4516666666666669,0.7620833333333334,5,2011,1,Sunday,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
121,2011-05-02,4401,0,0.5491666666666667,0.7299999999999999,5,2011,2,Monday,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
122,2011-05-03,4451,0,0.6166666666666666,0.6970833333333334,5,2011,3,Tuesday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
123,2011-05-04,2633,0,0.41416666666666674,0.7370833333333332,5,2011,4,Wednesday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
124,2011-05-05,4433,0,0.4591666666666668,0.44416666666666665,5,2011,5,Thursday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
125,2011-05-06,4608,0,0.4791666666666666,0.5900000000000002,5,2011,6,Friday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
126,2011-05-07,4714,0,0.52,0.54125,5,2011,7,Saturday,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
127,2011-05-08,4333,0,0.5283333333333333,0.6316666666666669,5,2011,8,Sunday,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
128,2011-05-09,4362,0,0.5324999999999999,0.58875,5,2011,9,Monday,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
129,2011-05-10,4803,0,0.5325000000000001,0.4891666666666666,5,2011,10,Tuesday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
130,2011-05-11,4182,0,0.5425,0.6329166666666667,5,2011,11,Wednesday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
131,2011-05-12,4864,0,0.535,0.7474999999999997,5,2011,12,Thursday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
132,2011-05-13,4105,0,0.5124999999999998,0.8633333333333332,5,2011,13,Friday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
133,2011-05-14,3409,0,0.5208333333333331,0.9225,5,2011,14,Saturday,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
134,2011-05-15,4553,0,0.5625000000000001,0.867083333333333,5,2011,15,Sunday,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
135,2011-05-16,3958,0,0.5775,0.7879166666666665,5,2011,16,Monday,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
136,2011-05-17,4123,0,0.5616666666666665,0.8379166666666665,5,2011,17,Tuesday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
137,2011-05-18,3855,0,0.55,0.8699999999999998,5,2011,18,Wednesday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
138,2011-05-19,4575,0,0.5308333333333334,0.8295833333333335,5,2011,19,Thursday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
139,2011-05-20,4917,0,0.5366666666666666,0.7195833333333334,5,2011,20,Friday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2011-05-21,5805,0,0.6024999999999999,0.6266666666666665,5,2011,21,Saturday,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
141,2011-05-22,4660,0,0.6041666666666666,0.7495833333333329,5,2011,22,Sunday,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
142,2011-05-23,4274,0,0.6316666666666667,0.8099999999999999,5,2011,23,Monday,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
143,2011-05-24,4492,0,0.6599999999999999,0.7408333333333332,5,2011,24,Tuesday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
144,2011-05-25,4978,0,0.6608333333333334,0.6962499999999999,5,2011,25,Wednesday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
145,2011-05-26,4677,0,0.7083333333333335,0.6775000000000001,5,2011,26,Thursday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
146,2011-05-27,4679,0,0.6816666666666665,0.65375,5,2011,27,Friday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
147,2011-05-28,4758,0,0.6558333333333334,0.7295833333333334,5,2011,28,Saturday,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
148,2011-05-29,4788,0,0.6675000000000001,0.8187499999999998,5,2011,29,Sunday,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
149,2011-05-30,4098,1,0.7333333333333333,0.685,5,2011,30,Monday,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
150,2011-05-31,3982,0,0.7749999999999999,0.6366666666666666,5,2011,31,Tuesday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
151,2011-06-01,3974,0,0.7641666666666663,0.6770833333333334,6,2011,1,Wednesday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
152,2011-06-02,4968,0,0.7150000000000002,0.305,6,2011,2,Thursday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
153,2011-06-03,5312,0,0.62,0.35416666666666674,6,2011,3,Friday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
154,2011-06-04,5342,0,0.6350000000000001,0.4562500000000001,6,2011,4,Saturday,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
155,2011-06-05,4906,0,0.6483333333333333,0.6525,6,2011,5,Sunday,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
156,2011-06-06,4548,0,0.6783333333333332,0.5999999999999999,6,2011,6,Monday,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
157,2011-06-07,4833,0,0.7075,0.5979166666666668,6,2011,7,Tuesday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
158,2011-06-08,4401,0,0.7758333333333335,0.6220833333333334,6,2011,8,Wednesday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
159,2011-06-09,3915,0,0.8083333333333332,0.5683333333333334,6,2011,9,Thursday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
160,2011-06-10,4586,0,0.7549999999999999,0.605,6,2011,10,Friday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
161,2011-06-11,4966,0,0.7250000000000001,0.6545833333333334,6,2011,11,Saturday,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
162,2011-06-12,4460,0,0.6924999999999999,0.7479166666666668,6,2011,12,Sunday,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
163,2011-06-13,5020,0,0.6349999999999999,0.4945833333333334,6,2011,13,Monday,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
164,2011-06-14,4891,0,0.6041666666666667,0.5070833333333333,6,2011,14,Tuesday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
165,2011-06-15,5180,0,0.6266666666666666,0.4716666666666666,6,2011,15,Wednesday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
166,2011-06-16,3767,0,0.6283333333333333,0.6883333333333334,6,2011,16,Thursday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
167,2011-06-17,4844,0,0.6491666666666666,0.7358333333333332,6,2011,17,Friday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
168,2011-06-18,5119,0,0.6966666666666667,0.6704166666666667,6,2011,18,Saturday,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
169,2011-06-19,4744,0,0.6991666666666667,0.6666666666666666,6,2011,19,Sunday,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
170,2011-06-20,4010,0,0.6349999999999999,0.74625,6,2011,20,Monday,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
171,2011-06-21,4835,0,0.6808333333333333,0.7704166666666664,6,2011,21,Tuesday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
172,2011-06-22,4507,0,0.7333333333333334,0.7074999999999999,6,2011,22,Wednesday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
173,2011-06-23,4790,0,0.7283333333333334,0.7033333333333331,6,2011,23,Thursday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
174,2011-06-24,4991,0,0.7241666666666667,0.5733333333333333,6,2011,24,Friday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
175,2011-06-25,5202,0,0.695,0.4833333333333334,6,2011,25,Saturday,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
176,2011-06-26,5305,0,0.68,0.5133333333333335,6,2011,26,Sunday,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
177,2011-06-27,4708,0,0.6825000000000001,0.6583333333333333,6,2011,27,Monday,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
178,2011-06-28,4648,0,0.7441666666666665,0.6341666666666667,6,2011,28,Tuesday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
